"route_name","state_num","route","st_abrev","country","population_100km","population_200km","population_300km","pop_5th_percentile_100km","pop_5th_percentile_200km","pop_5th_percentile_300km","bcr","latitude","longitude","n_surveys_total","n_surveys_since_2018","Surveyed_by_in_1966","Surveyed_by_in_1967","Surveyed_by_in_1968","Surveyed_by_in_1969","Surveyed_by_in_1970","Surveyed_by_in_1971","Surveyed_by_in_1972","Surveyed_by_in_1973","Surveyed_by_in_1974","Surveyed_by_in_1975","Surveyed_by_in_1976","Surveyed_by_in_1977","Surveyed_by_in_1978","Surveyed_by_in_1979","Surveyed_by_in_1980","Surveyed_by_in_1981","Surveyed_by_in_1982","Surveyed_by_in_1983","Surveyed_by_in_1984","Surveyed_by_in_1985","Surveyed_by_in_1986","Surveyed_by_in_1987","Surveyed_by_in_1988","Surveyed_by_in_1989","Surveyed_by_in_1990","Surveyed_by_in_1991","Surveyed_by_in_1992","Surveyed_by_in_1993","Surveyed_by_in_1994","Surveyed_by_in_1995","Surveyed_by_in_1996","Surveyed_by_in_1997","Surveyed_by_in_1998","Surveyed_by_in_1999","Surveyed_by_in_2000","Surveyed_by_in_2001","Surveyed_by_in_2002","Surveyed_by_in_2003","Surveyed_by_in_2004","Surveyed_by_in_2005","Surveyed_by_in_2006","Surveyed_by_in_2007","Surveyed_by_in_2008","Surveyed_by_in_2009","Surveyed_by_in_2010","Surveyed_by_in_2011","Surveyed_by_in_2012","Surveyed_by_in_2013","Surveyed_by_in_2014","Surveyed_by_in_2015","Surveyed_by_in_2016","Surveyed_by_in_2017","Surveyed_by_in_2018","Surveyed_by_in_2019","Surveyed_by_in_2021","Surveyed_by_in_2022","Surveyed_by_in_2023"
"LONGVIEW",4,210,"AB","CA",1611917,2116075,2472546,FALSE,FALSE,FALSE,11,50.513639999999995,-114.24690000000001,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990398,NA,NA,NA,NA,NA,NA,NA,NA,NA,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,990630,NA
"SUNNYBROOK",4,60,"AB","CA",1615076,1925482,3731747,FALSE,FALSE,FALSE,6,53.163810000000005,-114.22008,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060098,1060098,1060098,1060098,1060098,1060098
"WARBURG",4,30,"AB","CA",1615076,1925482,3731747,FALSE,FALSE,FALSE,6,53.163810000000005,-114.22008,32,NA,NA,NA,NA,NA,NA,1150198,1150198,1150198,NA,1150198,NA,NA,NA,NA,1010083,1010083,1010083,1010083,NA,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,NA,NA,NA,NA,1060098,1060098,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,NA,NA,NA,NA,NA,NA,NA,NA
"GHOST LAKE",4,215,"AB","CA",1643616,2010016,3844803,FALSE,FALSE,FALSE,10,51.21046,-114.76310000000001,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190393,1190393,1190393,NA,1110102,NA,1110102,1110102,1110102,1110102,1110102,1110102,1110102,NA,1110102,1110102,NA,NA,1110102,NA,1110102,1110102,1110102,1070589,1070589,1070589,NA,NA,NA,1151647,NA
"CARBON",4,314,"AB","CA",1646310,2181680,3941931,FALSE,FALSE,FALSE,11,51.35785999999999,-113.16917,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160227,NA,NA,NA,NA,1080287,1080287,1080287,NA,NA,NA,NA,NA,NA,NA,NA,NA,1151503,1151503,1151503,1151503,1151503,NA,NA,NA,NA,1120757
"ENSIGN",4,209,"AB","CA",1656788,2096532,2426996,FALSE,FALSE,FALSE,11,50.48463999999999,-113.39021000000001,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120575,1120575,1120575,1120575,1120575,1120575,1120575,1120575,980693,980693,980693,980693,980693,980693,NA,NA
"KEOMA",4,14,"AB","CA",1662120,2172447,3884769,FALSE,FALSE,FALSE,11,51.212610000000005,-113.77233999999999,33,NA,NA,NA,NA,NA,NA,NA,1150162,NA,NA,NA,1090189,1090189,1090189,1090189,NA,NA,NA,990197,990197,1150163,1150163,1150163,NA,1000233,1000233,1000233,NA,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,1160212,NA,1160212,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOCHEND LAKE",4,315,"AB","CA",1678483,2048434,3932914,FALSE,FALSE,FALSE,11,51.32922,-114.25969,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000303,1000303,1000303,NA,1000303,1000303,1000303,1000303,1000303,1000303,1000303,NA,NA,NA,1151303,1151303,1151303,1151303,1151303,1151303,1151303,NA,NA,1030708,1030708,1030708,NA,NA,NA
"YEOFORD",4,430,"AB","CA",1699509,2017459,3722736,FALSE,FALSE,FALSE,6,53.01772,-114.17257999999998,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140339,1140339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070069,1070069,1070069,1070069,1080674,1080674,NA,1080674,NA,NA,NA,NA
"Sunnyslope",4,414,"AB","CA",1771702,2557959,3962114,FALSE,FALSE,FALSE,11,51.67828,-113.666157,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030713,NA,1030713,1030713,1030713,1030713
"KATHYRN",4,214,"AB","CA",1773460,2107447,3910367,FALSE,FALSE,FALSE,11,51.4154,-113.7321,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090584,1090584,1090584,1090584,1090584,NA,1090584,1090584,1090584,NA,1090916,1090916,1090916,1090916,1090916,1090916,1090916,1000586,1000586,1000586,1000586,1000586,1000586,1000586,NA,1000586,1000586,1000586,1000586
"DIDSBURY",4,115,"AB","CA",1795900,2105676,3908666,FALSE,FALSE,FALSE,11,51.54794,-114.21268,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080234,1080234,1080234,1080234,1080234,1080234,1080234,1080234,1150785,1150785,1150785,1150785,1150785,1150785,1150785,1150785,1150785,1150785,1150785,1120575,1120575,1120575,1120575,1120575,1120575,1120575,981234,981234,NA,981234,981234,981234,NA,981234
"SHEEP COULEE",4,114,"AB","CA",1796298,2144256,3935571,FALSE,FALSE,FALSE,11,51.57850590000001,-113.896231,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000246,1000246,1000246,1000246,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,1070265,NA,1070265,NA,1070265,NA,1070265,1070265,1070265,1070265,1070265,1070265
"CHILKAT PASS",11,139,"BC","CA",0,34236,35226,TRUE,FALSE,FALSE,4,59.4505,-136.36189000000002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAINES SUMMIT",11,339,"BC","CA",0,34286,35226,TRUE,FALSE,FALSE,4,59.78907,-136.59568,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070249,1070249,NA,1070249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1151437,1151437,1151437,NA,NA,1151437,1151437,990148,990148,990148,990148,990148
"GERMANSEN LANDING",11,78,"BC","CA",258,42033,219694,TRUE,FALSE,FALSE,10,55.79950000000001,-124.73047,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160237,1160237,NA,1160237,1160237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000627,NA
"Old Germansen Road",11,178,"BC","CA",258,42033,219694,TRUE,FALSE,FALSE,10,55.79950000000001,-124.73047,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000627
"CASSIAR",11,132,"BC","CA",444,2760,5343,TRUE,TRUE,TRUE,4,59.22053000000001,-129.74169999999998,2,NA,NA,NA,NA,NA,NA,NA,1190062,NA,NA,1010002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KINASKAN LK",11,106,"BC","CA",745,1690,10379,TRUE,TRUE,TRUE,4,57.502140000000004,-130.22035,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TATLAYOKO L",11,37,"BC","CA",763,133590,3429554,TRUE,FALSE,FALSE,10,51.48959,-124.39194,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160160,1160160,NA,1160160,1160160,1160160,1160160,1160160,1160160,1160160,1160160,1160160,1160160,1160160,NA,1160160,1000379,NA,NA,NA,NA,NA,NA,NA,NA,1000379,1000379,1000379,1000379,NA,NA,NA,NA,NA
"GNAT PASS",11,117,"BC","CA",1051,1189,4141,FALSE,TRUE,TRUE,4,58.1,-129.86339,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORMIER CREEK",11,332,"BC","CA",1421,2089,5270,FALSE,TRUE,TRUE,4,59.964439999999996,-129.06944000000001,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090724,NA,1090724,1090724,1090724,1090724,1090724,NA,1090724,1090724,1090724,1090724,1090724,1090724,1090724,1090724,NA,1090724
"MEZIADIN",11,93,"BC","CA",1658,37720,71725,FALSE,FALSE,FALSE,5,56.10483,-129.28439,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010002,NA,1190062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150751,1151123,NA,1151123,NA,1151123,NA,1151123,1151123,NA,1151123,NA,1151123,NA,1151123,NA,NA,1151123,NA,NA
"TATLA LAKE",11,237,"BC","CA",1761,52973,486975,FALSE,FALSE,FALSE,10,51.98254,-124.36813,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160160,1160160,1160160,1160160,1160160,1160160,1160160,1160160,NA,1160160,NA,NA,1000379,NA,NA,NA,1000379,NA,NA,1000379,1000379,1000379,NA,NA,1000379,NA,NA,NA
"NIMPO LAKE",11,248,"BC","CA",1794,40550,361396,FALSE,FALSE,FALSE,10,52.25749,-125.08943,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000379,1000379,1000379,1000379,1000379,1000379,NA,NA,NA,NA,1000379,NA,NA,NA,NA,1000379,NA,1000379,NA,1000379,NA,NA,NA
"CARDIFF MTN",11,36,"BC","CA",2066,109429,3731731,FALSE,FALSE,FALSE,10,51.56289,-123.69749,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000379,1000379,1000379,1000379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELLA COOLA",11,49,"BC","CA",2791,12492,238808,FALSE,FALSE,FALSE,5,52.38755,-126.52696,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000379,NA,1000379,1000379,1000379,NA,1000379,NA,NA,NA,NA,NA,NA,1000379,NA,1000379,1000379,NA,NA,NA,NA,NA
"HECKMAN PASS",11,48,"BC","CA",3110,30195,271766,FALSE,FALSE,FALSE,10,52.510259999999995,-125.40723000000001,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000379,1000379,1000379,1000379,1000379,NA,1000379,NA,NA,1000379,NA,NA,NA,1000379,NA,1000379,1000379,NA,1000379,NA,NA,NA
"MASSETT",11,198,"BC","CA",4289,18796,51177,FALSE,FALSE,FALSE,5,54.03085,-132.05651,24,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040382,1040382,NA,1040382,1040382,1040382,1040382,1040382,NA,NA,NA,NA,1040382,1040382,1040382,1040382,1040382,1040382,1040382,1040382,1040382,1040382,NA,1040382,NA,NA,1040382,1040382,1040382,1040382,1040382,1040382,NA
"MORESBY IS",11,200,"BC","CA",4289,18181,49883,FALSE,FALSE,FALSE,5,53.23725,-131.86411,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rennell Sound",11,199,"BC","CA",4289,18181,49734,FALSE,FALSE,FALSE,5,53.250510000000006,-132.11712,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040382,NA,1040382,NA,NA,NA,NA,NA,1040382,1040382,1040382,1040382,1040382,1040382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skidegate Lake",11,300,"BC","CA",4289,18181,49883,FALSE,FALSE,FALSE,5,53.208040000000004,-131.79334,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040382,1040382,1040382,NA,NA,1040382,1040382,1040382,1040382,1040382,NA,1040382,1040382,1040382,1040382,1040382,NA,NA
"FORT NELSON",11,110,"BC","CA",4338,5043,14199,FALSE,TRUE,TRUE,6,58.84236,-122.91585,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000095,1000095,1150208,NA,NA,1040233,1040233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEAMBOAT",11,111,"BC","CA",4473,5188,11494,FALSE,TRUE,TRUE,6,58.66046,-123.85158,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010002,NA,1150208,NA,NA,NA,1040233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TETSA RIVER",11,112,"BC","CA",4473,5188,11409,FALSE,TRUE,TRUE,4,58.66678,-123.95445000000001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLISTON LK",11,75,"BC","CA",4487,169227,323670,FALSE,FALSE,FALSE,10,55.450829999999996,-123.20832999999999,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160237,1160237,1160237,1160237,1160237,1160237,NA,NA,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,1080492,NA,1000627,NA
"ATLIN ROAD",11,136,"BC","CA",5835,33846,37951,FALSE,FALSE,FALSE,4,60.00029,-133.79492,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990148,990148,NA,NA,990148,990148,990148,990148,990148,990148,NA,990148,990148,990148,990148,990148,990148,990148,990148
"MCLEOD LAKE",11,65,"BC","CA",6504,169614,329677,FALSE,FALSE,FALSE,10,54.98797,-123.0335,25,NA,NA,NA,1030041,1030041,1030041,1150206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,980519,990834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRASER RIVER",11,153,"BC","CA",6505,151522,532669,FALSE,FALSE,FALSE,10,53.2147861,-119.984438,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150840
"MCBRIDE",11,53,"BC","CA",6505,171955,517771,FALSE,FALSE,FALSE,10,53.27895000000001,-120.07849999999999,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150840,NA,1150840,NA,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,NA,NA,1150840,NA,1150840,NA,1150840,NA,NA,NA
"DUNSTER",11,58,"BC","CA",6670,87098,545494,FALSE,FALSE,FALSE,10,53.08394,-119.67143999999999,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,1150840,NA,NA,NA,NA,1150840,NA,1150840,NA,NA,1150840
"GOSNELL",11,42,"BC","CA",7117,90107,832017,FALSE,FALSE,FALSE,10,52.52649,-119.11384,3,NA,NA,NA,NA,1030041,1150133,NA,NA,NA,990134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRANBERRY",11,282,"BC","CA",7138,67049,78100,FALSE,FALSE,FALSE,5,55.68545,-128.74559999999997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NASS RIVER",11,82,"BC","CA",7138,63161,77432,FALSE,FALSE,FALSE,5,55.771530000000006,-128.84994,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nahwitti Lake",11,328,"BC","CA",10632,15703,218346,FALSE,FALSE,FALSE,5,50.680642999999996,-127.980411,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010196,1010196,NA,NA,NA,NA,NA,NA
"PORT HARDY",11,28,"BC","CA",10632,17457,230888,FALSE,FALSE,FALSE,5,50.701583,-127.91416800000002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160055,1160055,1160055,NA,NA,NA,NA,1160055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010196,1010196,1010196,1010196,1010196,1010196,NA,NA,1010196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VICTORIA LK",11,228,"BC","CA",12268,136370,415161,FALSE,FALSE,FALSE,5,50.285430000000005,-127.34662000000002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUCCOUR CR.",11,430,"BC","CA",16503,197350,2707522,FALSE,FALSE,FALSE,10,51.716370000000005,-117.52987999999999,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENNEY DAM",11,57,"BC","CA",17017,152866,221025,FALSE,FALSE,FALSE,10,53.59811000000001,-124.90146000000001,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120442,NA,1020378,1020378,1020378,1020378,1020378,1020378,1020378,1020378,NA,1020378,NA,1020378,1020378,1020378,1020378,1020378,NA,NA,1020378,1020378
"ESPLANADE RG",11,30,"BC","CA",17253,239248,2715234,FALSE,FALSE,FALSE,10,51.504239999999996,-117.41691000000002,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080308,NA,NA,NA,1080308,1080308,1080308,1080308,1080308,1080308,1080308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLAEBERRY RIVER",11,229,"BC","CA",18434,466852,2752341,FALSE,FALSE,FALSE,10,51.41655,-117.00095,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080308,1080308,1080308,1080308,1080308,1080308,1080308,1080308,NA,1080308,1080308,NA,1080308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Bend Hwy",11,131,"BC","CA",19439,328965,921097,FALSE,FALSE,FALSE,10,51.67589,-118.63605,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091279,1091279,1091279,1091279,NA,NA,NA,NA
"GOLDSTREAM R",11,31,"BC","CA",19439,328965,921097,FALSE,FALSE,FALSE,10,51.67589,-118.63605,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190417,1190417,1190417,1190417,NA,1190417,1190417,1190417,1190417,1190417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
